protein_id	ElementSymbol
cohort_merged__DRR171465__k141_48296::4::4130::4996::+	ant(6)
cohort_merged__DRR171465__k141_6388::2::331::1032::-	vanR
cohort_merged__DRR171465__k141_8048::6::9972::10868::+	bla
cohort_merged__DRR171465__k141_88732::1::21::728::+	vanR
cohort_merged__DRR171465__k141_93746::4::4972::5661::+	vanR
cohort_merged__DRR171466__k141_44644::1::18::707::+	vanR
cohort_merged__DRR171466__k141_88886::1::17::1504::-	lsa
cohort_merged__DRR171467__k141_29059::6::6081::8075::-	tet(Q)
cohort_merged__DRR171467__k141_38154::11::9211::10221::+	cepA
cohort_merged__DRR171467__k141_38963::4::1069::1692::+	catA
cohort_merged__DRR171467__k141_399::2::510::1199::+	vanR
cohort_merged__DRR171467__k141_43225::6::4527::5150::-	catA
cohort_merged__DRR171467__k141_50766::16::20402::21094::+	vanR
cohort_merged__DRR171467__k141_56581::4::2258::3643::+	tet(L)
cohort_merged__DRR171467__k141_62473::81::88911::89603::+	vanR
cohort_merged__DRR171467__k141_62473::82::89596::90732::+	vanS
cohort_merged__DRR171467__k141_62473::83::90980::91801::+	vanW
cohort_merged__DRR171467__k141_62473::84::91814::92920::+	vanG
cohort_merged__DRR171467__k141_62473::86::93390::94514::+	vanT
cohort_merged__DRR171467__k141_66590::35::37742::39250::+	tva(B)
cohort_merged__DRR171468__k141_100119::99::94465::96378::+	blaR1
cohort_merged__DRR171469__k141_109672::2::466::1158::+	vanR
cohort_merged__DRR171469__k141_45068::119::120464::121342::-	blaCKO
cohort_merged__DRR171470__k141_101315::3::1963::3126::-	vanG
cohort_merged__DRR171470__k141_101315::6::5470::6168::-	vanR
cohort_merged__DRR171470__k141_79457::1::3::1034::-	vanD
cohort_merged__DRR171471__k141_7935::2::250::783::-	aac(6')
cohort_merged__DRR171471__k141_93194::1::79::513::-	aac(6')
cohort_merged__DRR171472__k141_113222::2::474::1895::-	tet(W)
cohort_merged__DRR171472__k141_70823::4::2333::5488::+	oqxB
cohort_merged__DRR171472__k141_87075::2::73::612::-	erm(F)
cohort_merged__DRR171472__k141_88818::2::810::1439::+	vat
cohort_merged__DRR171473__k141_25941::15::11640::13436::+	blaR1
cohort_merged__DRR171473__k141_46124::2::1530::2525::-	cfxA
cohort_merged__DRR171474__k141_66118::1::107::1021::+	bla
cohort_merged__DRR171474__k141_69521::3::2451::3104::+	catA
cohort_merged__DRR171476__k141_106651::15::13926::15707::+	blaR1
cohort_merged__DRR171476__k141_200401::3::589::1302::+	vanR
cohort_merged__DRR171477__k141_94456::2::297::986::-	vanR
cohort_merged__DRR171478__k141_118555::4::1842::2480::-	catA
cohort_merged__DRR171478__k141_121494::4::2845::3423::+	aac(6')-Im
cohort_merged__DRR171478__k141_127761::2::844::1287::-	aac(6')
cohort_merged__DRR171478__k141_140531::2::510::1205::+	vanR
cohort_merged__DRR171478__k141_14199::2::289::2088::-	blaR1
cohort_merged__DRR171478__k141_144400::2::669::1367::-	vanR
cohort_merged__DRR171478__k141_148684::1::96::809::-	vanR
cohort_merged__DRR171478__k141_153553::10::11189::13285::+	vanT
cohort_merged__DRR171478__k141_153553::6::7382::8083::+	vanR
cohort_merged__DRR171478__k141_153553::8::9391::10446::+	vanG
cohort_merged__DRR171478__k141_2990::26::32772::33467::+	vanR
cohort_merged__DRR171478__k141_33205::2::397::1182::+	aph(3')
cohort_merged__DRR171478__k141_36561::2::250::888::-	catA
cohort_merged__DRR171478__k141_4671::4::1463::2080::-	catA
cohort_merged__DRR171478__k141_66182::7::4566::5651::-	vanS
cohort_merged__DRR171478__k141_66799::2::478::1245::-	vanR
cohort_merged__DRR171478__k141_70635::68::73457::75247::+	blaR1
cohort_merged__DRR171478__k141_86958::2::944::1639::-	vanR
cohort_merged__DRR171478__k141_86985::2::334::1029::+	vanR
cohort_merged__DRR171478__k141_92196::3::1088::1777::+	vanR
cohort_merged__DRR171478__k141_92742::3::3504::4142::+	catA
cohort_merged__DRR171478__k141_95914::9::5827::6933::+	vanS
cohort_merged__DRR171479__k141_125515::101::97293::97769::+	dfrA50
cohort_merged__DRR171480__k141_105743::124::138309::138944::-	vat
cohort_merged__DRR171480__k141_29521::160::157765::158166::-	fos
cohort_merged__DRR171480__k141_37214::101::112528::113322::-	blaOXA
cohort_merged__DRR171480__k141_71735::78::81734::82498::+	cphA
cohort_merged__DRR171480__k141_98099::4::4148::4960::-	vanR
cohort_merged__DRR171481__k141_73281::4::2380::3069::+	vanR
cohort_merged__DRR171482__k141_128462::45::46240::46917::+	catA
cohort_merged__DRR171482__k141_138407::1::199::792::+	erm(G)
cohort_merged__DRR171482__k141_156190::85::97595::98020::+	fosA8
cohort_merged__DRR171482__k141_33060::40::40008::41150::-	ampC
cohort_merged__DRR171482__k141_72872::5::2924::3739::-	aph(3')-I
cohort_merged__DRR171483__k141_81011::12::5625::6737::-	vanT
cohort_merged__DRR171485__k141_153436::13::8584::9078::-	nim
cohort_merged__DRR171485__k141_205473::18::11885::12532::+	catA
cohort_merged__DRR171486__k141_11084::4::2714::3511::-	blaOXA
cohort_merged__DRR171486__k141_47280::76::85109::86146::-	vanG
cohort_merged__DRR171487__k141_57216::17::15797::16441::+	bla
cohort_merged__DRR171489__k141_105543::30::37343::38242::+	bla
cohort_merged__DRR171489__k141_129736::15::13146::13946::+	aph(3')
cohort_merged__DRR171489__k141_20103::24::28513::29142::-	catA
cohort_merged__DRR171489__k141_33832::39::38869::39687::+	blaOXA
cohort_merged__DRR171490__k141_62425::2::226::699::-	aph(6)-Id
cohort_merged__DRR171492__k141_35534::10::7787::9706::-	tet
cohort_merged__DRR171493__k141_15796::3::694::1128::-	aac(6')
cohort_merged__DRR171493__k141_29007::5::3829::5676::+	blaR1
cohort_merged__DRR171493__k141_30805::1::247::948::+	vanR
cohort_merged__DRR171493__k141_35450::10::8267::10387::-	vanT
cohort_merged__DRR171493__k141_37183::3::1047::2189::-	vanT
cohort_merged__DRR171493__k141_37183::5::3176::4237::-	vanG
cohort_merged__DRR171493__k141_40511::1::340::1206::-	ant(6)
cohort_merged__DRR171494__k141_107616::2::1184::1882::-	vanR
cohort_merged__DRR171494__k141_139726::3::2945::4066::-	blaR1
cohort_merged__DRR171494__k141_142298::34::42374::42901::+	erm(X)
cohort_merged__DRR171494__k141_142617::2::476::1165::-	vanR
cohort_merged__DRR171494__k141_146774::1::32::730::+	vanR
cohort_merged__DRR171494__k141_150735::2::1392::1850::+	aac(6')
cohort_merged__DRR171494__k141_154997::11::9546::10196::+	catA
cohort_merged__DRR171494__k141_170536::2::1820::3898::-	vanT
cohort_merged__DRR171494__k141_181061::1::282::977::+	vanR
cohort_merged__DRR171494__k141_199259::8::5794::6228::+	aac(6')
cohort_merged__DRR171494__k141_20121::2::510::2312::+	blaR1
cohort_merged__DRR171494__k141_37979::16::22430::23125::+	vanR
cohort_merged__DRR171494__k141_42074::11::8884::9657::+	aac(6')
cohort_merged__DRR171494__k141_55456::3::1270::2394::+	vanT
cohort_merged__DRR171494__k141_87145::3::1605::3731::-	vanT
cohort_merged__DRR171494__k141_87145::5::4482::5531::-	vanG
cohort_merged__DRR171494__k141_87145::6::5536::6360::-	vanW
cohort_merged__DRR171495__k141_117074::52::49168::50313::+	blaCMY-179
cohort_merged__DRR171495__k141_131643::27::32202::33827::+	mcr-3
cohort_merged__DRR171495__k141_136173::3::468::1682::-	floR
cohort_merged__DRR171495__k141_150975::66::75859::77007::+	blaAQU
cohort_merged__DRR171495__k141_43840::105::84984::85460::-	dfrA51
cohort_merged__DRR171496__k141_101681::9::12712::13134::+	fosA7.5
cohort_merged__DRR171496__k141_107346::3::1493::1894::-	fos
cohort_merged__DRR171496__k141_112849::3::1351::2151::+	erm
cohort_merged__DRR171496__k141_114845::5::2844::3578::+	vanR
cohort_merged__DRR171496__k141_171857::78::96273::97433::-	ampC
cohort_merged__DRR171496__k141_185066::1::119::607::-	nim
cohort_merged__DRR171496__k141_80216::1::1::1797::-	blaR1
cohort_merged__DRR171496__k141_82518::2::935::2086::-	blaMOX
cohort_merged__DRR171496__k141_87389::3::3031::3825::-	blaOXA
cohort_merged__DRR171497__k141_40563::5::2717::3940::-	tet(B)
cohort_merged__DRR171498__k141_121688::16::10753::12885::+	vanT
cohort_merged__DRR171498__k141_164051::3::1230::2120::-	bla
cohort_merged__DRR171498__k141_22861::4::2266::2721::-	aac(6')
cohort_merged__DRR171498__k141_28923::3::999::2036::+	cfr
cohort_merged__DRR171498__k141_65313::2::163::795::-	catA
cohort_merged__DRR171498__k141_74374::1::90::1136::+	vanG
cohort_merged__DRR171500__k141_18002::2::245::634::+	sat4
cohort_merged__DRR171500__k141_190787::1::274::2193::+	tet
cohort_merged__DRR171500__k141_24825::2::187::621::-	aac(6')
cohort_merged__DRR171500__k141_62682::3::881::1321::+	aac(6')
cohort_merged__DRR171500__k141_8090::2::923::1648::-	sat4
cohort_merged__DRR171501__k141_124067::4::2070::3146::-	vanG
cohort_merged__DRR171501__k141_40989::1::103::1161::+	vanG
cohort_merged__DRR171502__k141_25905::3::312::1361::+	cfr(B)
cohort_merged__DRR171503__k141_37824::4::2411::3460::+	vanG
cohort_merged__DRR171503__k141_72863::15::19927::20625::+	bla
cohort_merged__DRR171504__k141_16899::9::9283::9702::-	fosA
cohort_merged__DRR171504__k141_3500::6::5271::6146::-	blaKLUC-1
cohort_merged__DRR171504__k141_58124::2::598::1017::+	fosA
cohort_merged__DRR171504__k141_72009::4::2389::2832::+	fosA
cohort_merged__DRR171504__k141_98827::2::1823::2938::+	mcr-10
cohort_merged__DRR171506__k141_106237::1::228::1037::-	spw
cohort_merged__DRR171506__k141_35770::1::374::1174::+	blaOXA
cohort_merged__DRR171508__k141_98771::1::261::920::-	catA
cohort_merged__DRR171509__k141_136612::10::9919::10617::-	vanR
cohort_merged__DRR171509__k141_136612::5::3665::5713::-	vanT
cohort_merged__DRR171509__k141_164450::1::129::563::+	aac(6')
cohort_merged__DRR171509__k141_168808::2::350::1399::+	vanG
cohort_merged__DRR171509__k141_34461::1::56::493::-	aac(6')
cohort_merged__DRR171509__k141_78474::4::4186::4629::-	aac(6')
cohort_merged__DRR171509__k141_91181::1::30::671::+	catA
cohort_merged__DRR171509__k141_98791::2::237::1052::+	aph(3')
cohort_merged__DRR171511__k141_12918::3::1444::2646::-	tet(G)
cohort_merged__DRR171511__k141_41385::1::211::1152::-	aadA1
cohort_merged__DRR171511__k141_41385::2::1091::2086::-	estX
cohort_merged__DRR171511__k141_49144::1::325::1266::+	mef(A)
cohort_merged__DRR171511__k141_85469::4::1196::2221::+	aph(4)-Ia
cohort_merged__DRR171512__k141_151997::73::81522::82397::+	blaOXY-1-2
cohort_merged__DRR171512__k141_159855::1::39::1550::-	tet(O)
cohort_merged__DRR171512__k141_73487::1::50::745::+	vanR
cohort_merged__DRR171512__k141_74613::2::991::2847::+	tetA(46)
cohort_merged__DRR171516__k141_22766::2::369::1139::+	bla
cohort_merged__DRR171520__k141_28305::2::1151::2035::-	bla
cohort_merged__DRR171520__k141_99710::1::240::1583::-	blaR1
cohort_merged__DRR171521__k141_115477::5::2695::3168::-	dfrA17
cohort_merged__DRR171523__k141_62103::1::151::849::+	vanR
cohort_merged__DRR171524__k141_69255::1::117::644::+	nimA
cohort_merged__DRR171524__k141_82287::12::13467::14135::-	catA
cohort_merged__DRR171525__k141_33346::3::1388::2023::+	vat
cohort_merged__DRR171526__k141_26239::4::1445::1771::-	aac(6')
cohort_merged__DRR171526__k141_27943::13::13237::14229::-	bla
cohort_merged__DRR171526__k141_29048::4::2232::2873::-	vat
cohort_merged__DRR171529__k141_62139::6::5828::8002::+	vanT
cohort_merged__DRR171530__k141_21364::1::110::1258::+	vanG
cohort_merged__DRR171530__k141_21364::4::3016::4137::+	vanT
cohort_merged__DRR171531__k141_83810::9::5953::6735::+	erm(B)
cohort_merged__DRR171534__k141_28517::1::197::811::+	erm(F)
cohort_merged__DRR171534__k141_67123::2::599::1417::-	vanW
cohort_merged__DRR171538__k141_141579::11::13963::14769::+	bla
cohort_merged__DRR171539__k141_48537::21::20292::22373::+	vanT
cohort_merged__DRR171539__k141_78608::1::163::954::-	vanR
cohort_merged__DRR171539__k141_95315::1::223::1407::+	msr(D)
cohort_merged__DRR171539__k141_995::30::26057::26728::-	catA
cohort_merged__DRR171540__k141_25389::24::23221::24438::+	blaR1
cohort_merged__DRR171542__k141_46836::1::318::545::-	fosXCC
cohort_merged__DRR171544__k141_102977::2::1421::2836::-	blaR1
cohort_merged__DRR171544__k141_103712::3::1131::2621::-	lsa
cohort_merged__DRR171544__k141_21975::5::5193::5852::-	catA
cohort_merged__DRR171544__k141_22590::2::329::742::-	arr
cohort_merged__DRR171544__k141_26772::2::94::1386::-	tet(44)
cohort_merged__DRR171544__k141_32294::4::3084::3809::+	vanR
cohort_merged__DRR171544__k141_32413::1::43::1245::+	vanT
cohort_merged__DRR171544__k141_34321::9::16240::16890::+	catA
cohort_merged__DRR171544__k141_35013::5::3586::4347::-	aph(3')
cohort_merged__DRR171544__k141_38812::1::167::784::+	catA
cohort_merged__DRR171544__k141_84041::8::8119::8748::-	catA
cohort_merged__DRR171544__k141_93216::26::19268::20353::-	vanT
cohort_merged__DRR171545__k141_150624::105::140716::141627::-	bla
cohort_merged__DRR171545__k141_69407::1::174::881::+	vanR
cohort_merged__DRR171546__k141_57903::18::16245::17189::+	bla
cohort_merged__DRR171547__k141_85605::1::57::470::-	arr
cohort_merged__DRR171548__k141_8943::7::2741::3886::-	blaACT-16
cohort_merged__DRR171550__k141_39869::2::770::1462::-	vanR
cohort_merged__DRR171550__k141_82675::2::600::1295::-	vanR
cohort_merged__DRR171550__k141_84036::5::4574::5398::-	vanW
cohort_merged__DRR171550__k141_84036::7::6221::7360::-	vanS
cohort_merged__DRR171550__k141_84036::8::7350::8066::-	vanR
cohort_merged__DRR171550__k141_86459::3::883::1518::+	vat
cohort_merged__DRR171551__k141_35424::3::3060::3800::+	vanR
cohort_merged__DRR171553__k141_298::8::6880::8034::-	vanS
cohort_merged__DRR171554__k141_39817::8::6381::8183::-	blaR1
cohort_merged__DRR171556__k141_118246::9::5293::6414::-	vanT
cohort_merged__DRR171558__k141_89373::2::428::1540::-	tet(Q)
cohort_merged__DRR171559__k141_103410::2::282::1109::+	bla
cohort_merged__DRR171559__k141_103566::2::250::1413::-	vat
cohort_merged__DRR171559__k141_110837::10::12727::13419::+	vanR
cohort_merged__DRR171559__k141_117784::3::2566::3618::-	vanG
cohort_merged__DRR171559__k141_137209::4::2036::2470::-	aac(6')
cohort_merged__DRR171559__k141_138740::3::1086::3143::+	vanT
cohort_merged__DRR171559__k141_147479::2::354::1136::+	vanR
cohort_merged__DRR171559__k141_159959::67::70844::71899::+	vanG
cohort_merged__DRR171559__k141_159959::69::72625::74706::+	vanT
cohort_merged__DRR171559__k141_176475::11::9148::9858::+	vanR
cohort_merged__DRR171559__k141_176475::12::9851::10957::+	vanS
cohort_merged__DRR171559__k141_176475::13::11100::11909::+	vanW
cohort_merged__DRR171559__k141_176475::14::11926::12972::+	vanG
cohort_merged__DRR171559__k141_182848::2::203::1273::-	vanG
cohort_merged__DRR171559__k141_251531::3::2137::2838::-	vanR
cohort_merged__DRR171559__k141_33373::4::4857::5843::+	bla
cohort_merged__DRR171559__k141_54430::15::9445::9957::-	arr
cohort_merged__DRR171559__k141_58636::14::13310::13963::+	catA
cohort_merged__DRR171559__k141_69265::10::9041::11173::+	vanT
cohort_merged__DRR171559__k141_69265::4::4380::5075::+	vanR
cohort_merged__DRR171559__k141_73356::2::911::1615::-	vanR
cohort_merged__DRR171559__k141_7584::9::11364::11999::+	vat
cohort_merged__DRR171559__k141_89029::1::127::825::-	vanR
cohort_merged__DRR171563__k141_109116::2::215::865::-	catA
cohort_merged__DRR171563__k141_27490::2::524::1210::-	vanR
cohort_merged__DRR171564__k141_22448::2::702::2459::+	blaR1
cohort_merged__DRR171564__k141_26279::10::6968::7600::-	erm(F)
cohort_merged__DRR171565__k141_69805::1::137::1189::-	vanG
cohort_merged__DRR171567__k141_103831::5::2200::2826::+	catA
cohort_merged__DRR171567__k141_11228::1::109::1044::+	bla
cohort_merged__DRR171567__k141_3379::3::2304::3365::-	vanG
cohort_merged__DRR171567__k141_59714::2::324::1022::-	vanR
cohort_merged__DRR171567__k141_63216::2::513::1160::+	catA
cohort_merged__DRR171570__k141_15204::1::48::938::+	bla
cohort_merged__DRR171570__k141_26893::2::312::944::-	catA
cohort_merged__DRR171571__k141_10196::11::6977::7972::-	erm(F)
cohort_merged__DRR171571__k141_82979::2::179::871::+	vanR
cohort_merged__DRR171574__k141_173205::27::27469::29229::+	blaR1
cohort_merged__DRR171574__k141_29952::9::6274::7764::-	tet(40)
cohort_merged__DRR171574__k141_79150::6::3008::4972::-	tet
cohort_merged__DRR171575__k141_35880::1::155::1099::+	bla
cohort_merged__DRR171575__k141_55044::3::606::1379::+	vanR
cohort_merged__DRR171577__k141_71840::21::28349::29245::+	bla
cohort_merged__DRR171577__k141_99140::27::29731::30378::-	catA
cohort_merged__DRR171578__k141_18714::8::4953::5636::+	mef(A)
cohort_merged__DRR171579__k141_107004::2::1215::2954::+	tetB(60)
cohort_merged__DRR171580__k141_26109::3::2856::3743::-	bla
cohort_merged__DRR171580__k141_50313::3::2159::2818::+	erm(B)
cohort_merged__DRR171581__k141_42090::5::4157::5959::-	blaR1
cohort_merged__DRR171582__k141_58757::2::443::976::-	lnu(AN2)
cohort_merged__DRR171584__k141_19336::3::1619::2320::+	vanR
cohort_merged__DRR171585__k141_166689::49::50511::51335::+	vanW-G
cohort_merged__DRR171585__k141_63864::27::28984::29895::-	bla
cohort_merged__DRR171585__k141_81436::20::16795::17502::+	vanR
cohort_merged__DRR171588__k141_123411::8::9345::10127::-	aph(3')
cohort_merged__DRR171588__k141_94739::5::1897::2532::-	vat
cohort_merged__DRR171589__k141_54116::2::888::1619::+	erm(A)
cohort_merged__DRR171590__k141_102198::11::16289::17179::-	bla
cohort_merged__DRR171590__k141_137101::1::223::1368::-	vanS
cohort_merged__DRR171590__k141_137101::2::1358::2044::-	vanR
cohort_merged__DRR171595__k141_133525::2::765::1955::+	vanT
cohort_merged__DRR171596__k141_15665::1::10::699::-	vanR
cohort_merged__DRR171600__k141_44630::2::333::1208::+	blaCTX-M-27
cohort_merged__DRR171601__k141_21974::2::214::2331::+	vanT
cohort_merged__DRR171601__k141_86162::28::32813::33865::+	bla
cohort_merged__DRR171603__k141_24637::5::5323::5952::+	catA
cohort_merged__DRR171604__k141_113483::4::1288::2130::+	aph(6)-Ic
cohort_merged__DRR171604__k141_114620::3::1373::2251::-	bla
cohort_merged__DRR171604__k141_118200::25::14621::15244::+	catA
cohort_merged__DRR171604__k141_140487::10::6937::7797::+	bla
cohort_merged__DRR171604__k141_189757::61::64217::65116::-	bla
cohort_merged__DRR171604__k141_29589::4::2335::3033::+	vanR
cohort_merged__DRR171604__k141_84037::2::1644::2321::+	catA
cohort_merged__DRR171605__k141_14690::5::2446::3327::-	bla
cohort_merged__DRR171605__k141_156304::6::3792::4583::-	aph(3')
cohort_merged__DRR171605__k141_175327::3::1937::3388::-	aph(2'')-I
cohort_merged__DRR171608__k141_28490::1::75::770::-	vat
cohort_merged__DRR171609__k141_158359::17::17234::18133::-	mph(B)
cohort_merged__DRR171609__k141_16216::1::138::602::-	spw
cohort_merged__DRR171609__k141_89326::5::4105::4746::-	catA2
cohort_merged__DRR171610__k141_151209::7::5162::6046::+	bla
cohort_merged__DRR171610__k141_177964::2::1384::2301::+	bla
cohort_merged__DRR171610__k141_191800::36::47682::48548::+	bla
cohort_merged__DRR171610__k141_223401::3::864::1514::-	catA
cohort_merged__DRR171610__k141_229921::18::22323::23213::-	bla
cohort_merged__DRR171610__k141_261473::9::7811::8506::-	vanR
cohort_merged__DRR171610__k141_278179::2::1687::3189::+	bla
cohort_merged__DRR171610__k141_36620::1::25::1071::-	vanG
cohort_merged__DRR171610__k141_61370::17::10941::11393::-	aac(6')
cohort_merged__DRR171610__k141_80244::9::8377::9327::+	bla
cohort_merged__DRR171611__k141_83063::1::26::1822::-	blaR1
cohort_merged__DRR171612__k141_22729::15::12118::12753::+	catA
cohort_merged__DRR171613__k141_47848::56::73315::74271::-	bla
cohort_merged__DRR171614__k141_62290::3::2155::2832::+	catA
cohort_merged__DRR171614__k141_9268::4::2704::3972::-	vanT
cohort_merged__DRR171615__k141_1754::3::1348::2277::+	bla
cohort_merged__DRR171615__k141_51210::4::1968::4109::+	vanT
cohort_merged__DRR171616__k141_48878::11::7228::7725::-	nimJ
cohort_merged__DRR171616__k141_766::17::17039::18079::-	bla
cohort_merged__DRR171618__k141_1555::4::2870::3406::+	aac(6')
cohort_merged__DRR171618__k141_35920::22::25407::26099::+	vanR
cohort_merged__DRR171618__k141_35920::24::27343::28392::+	vanG
cohort_merged__DRR171618__k141_35920::26::29129::31207::+	vanT
cohort_merged__DRR171618__k141_53217::1::37::696::+	bla
cohort_merged__DRR171618__k141_55401::11::13445::14140::+	vanR
cohort_merged__DRR171618__k141_72686::2::471::2261::+	blaR1
cohort_merged__DRR171618__k141_75729::3::3216::4262::-	vanG
cohort_merged__DRR171619__k141_31640::1::86::1003::+	aadE
cohort_merged__DRR171619__k141_34291::2::258::938::+	aadS
cohort_merged__DRR171620__k141_156286::2::819::1595::+	tet(40)
cohort_merged__DRR171620__k141_6132::2::708::1967::+	cfr(E)
cohort_merged__DRR171621__k141_82667::4::1571::3583::-	tet(M)
cohort_merged__DRR171622__k141_105005::34::38567::39307::+	bla
cohort_merged__DRR171622__k141_120006::2::104::547::-	aac(6')
cohort_merged__DRR171624__k141_47446::24::18571::19266::-	vanR
cohort_merged__DRR171624__k141_57943::52::46881::48677::+	blaR1
cohort_merged__DRR171624__k141_65156::2::345::1805::+	lsa
cohort_merged__DRR171627__k141_125585::1::90::785::+	vanR
cohort_merged__DRR171628__k141_159007::6::3323::4123::-	erm
cohort_merged__DRR171628__k141_23192::2::1129::1914::-	aph(3')
cohort_merged__DRR171628__k141_3230::3::1005::1616::+	bla
cohort_merged__DRR171628__k141_42604::2::421::1800::-	vanT
cohort_merged__DRR171628__k141_60447::246::270323::271000::+	catA
cohort_merged__DRR171628__k141_61998::3::906::1745::-	msr(D)
cohort_merged__DRR171628__k141_64533::3::1330::1767::-	aac(6')
cohort_merged__DRR171628__k141_84670::3::1322::2023::+	vanR
cohort_merged__DRR171629__k141_10438::4::2483::3265::-	ant(9)
cohort_merged__DRR171630__k141_45384::3::1045::2010::-	bla
cohort_merged__DRR171634__k141_129087::2::1063::1767::+	vanR
cohort_merged__DRR171634__k141_138903::3::620::1315::+	vanR
cohort_merged__DRR171634__k141_96849::5::3195::4691::+	lsa(A)
cohort_merged__DRR171636__k141_63965::2::1246::1689::+	lnu(C)
cohort_merged__DRR171637__k141_36856::4::1778::2806::+	tet(40)
cohort_merged__DRR171638__k141_29476::1::602::1150::+	aac(6')-Iid
cohort_merged__DRR171638__k141_34544::1::59::1123::+	vanG
cohort_merged__DRR171638__k141_38397::3::2911::4407::+	lsa
cohort_merged__DRR171639__k141_109837::2::765::2456::-	blaR1
cohort_merged__DRR171639__k141_40378::2::127::834::-	vanR
cohort_merged__DRR171639__k141_40559::3::1971::2837::-	vanW
cohort_merged__DRR171639__k141_46600::3::1798::2241::+	aac(6')
cohort_merged__DRR171640__k141_22235::5::5651::6346::-	vanR
cohort_merged__DRR171640__k141_6734::2::228::929::-	vanR
cohort_merged__DRR171641__k141_102363::7::8468::9376::-	bla
cohort_merged__DRR171642__k141_166782::29::36644::37468::+	vanW
cohort_merged__DRR171642__k141_166782::30::37474::38520::+	vanG
cohort_merged__DRR171642__k141_166782::32::38991::40178::+	vanT
cohort_merged__DRR171642__k141_87303::15::11870::12562::+	catA
cohort_merged__DRR171644__k141_37513::2::1018::2250::+	tet(W)
cohort_merged__DRR171645__k141_111702::2::1437::2489::-	vanG
cohort_merged__DRR171645__k141_187867::6::7028::7975::+	bla
cohort_merged__DRR171645__k141_9871::2::388::1179::-	rmt
cohort_merged__DRR171646__k141_10205::2::858::2435::-	msr(D)
cohort_merged__DRR171646__k141_40044::2::146::1960::-	blaR1
cohort_merged__DRR171646__k141_99823::1::121::1353::+	vanT
cohort_merged__DRR171647__k141_6597::2::3426::4613::+	tet(Q)
cohort_merged__DRR171648__k141_124153::2::632::1270::+	catA
cohort_merged__DRR171648__k141_4054::7::6627::7268::+	catA
cohort_merged__DRR171650__k141_29538::2::252::1025::+	vanR
cohort_merged__DRR171651__k141_110229::1::251::949::+	vanR
cohort_merged__DRR171651__k141_116579::23::24602::25294::+	vanR
cohort_merged__DRR171651__k141_142888::2::1815::2873::-	vanG
cohort_merged__DRR171651__k141_154475::4::3906::4271::-	catA13
cohort_merged__DRR171651__k141_16760::1::12::1115::+	vanG
cohort_merged__DRR171651__k141_16760::2::1124::2347::+	vanT
cohort_merged__DRR171651__k141_212191::37::36824::37282::-	aac(6')
cohort_merged__DRR171651__k141_215579::3::1880::3121::+	cfr
cohort_merged__DRR171651__k141_43626::55::58570::59694::-	vanT
cohort_merged__DRR171651__k141_43626::58::60923::62002::-	vanG
cohort_merged__DRR171651__k141_43626::59::62008::62832::-	vanW
cohort_merged__DRR171651__k141_43626::60::63017::64138::-	vanS
cohort_merged__DRR171651__k141_43626::61::64131::64826::-	vanR
cohort_merged__DRR171651__k141_49174::2::457::936::-	aac(6')
cohort_merged__DRR171651__k141_96765::4::3164::5452::-	vanT
cohort_merged__DRR171651__k141_98750::2::689::1504::+	aph(3')
cohort_merged__DRR171652__k141_112267::6::5853::7649::+	blaR1
cohort_merged__DRR171652__k141_11544::13::14450::15304::+	bla
cohort_merged__DRR171652__k141_30951::9::6657::7076::-	fosA
cohort_merged__DRR171652__k141_38254::6::5367::6044::-	catA
cohort_merged__DRR171657__k141_225805::10::7696::9831::-	vanT
cohort_merged__DRR171657__k141_239122::1::139::1266::+	vanT
cohort_merged__DRR171659__k141_48926::36::32537::32944::+	erm(G)
cohort_merged__DRR171660__k141_50218::2::926::1615::+	vanR
cohort_merged__DRR171660__k141_51282::2::231::2003::+	blaR1
cohort_merged__DRR171661__k141_12808::4::2463::3086::-	catA
cohort_merged__DRR171661__k141_130714::1::251::1102::+	bla
cohort_merged__DRR171661__k141_148876::2::170::880::-	vanR
cohort_merged__DRR171661__k141_154960::2::588::1646::+	vanG
cohort_merged__DRR171661__k141_154960::4::2365::4395::+	vanT
cohort_merged__DRR171661__k141_158975::6::4375::5199::+	vanW
cohort_merged__DRR171661__k141_158975::7::5286::6338::+	vanG
cohort_merged__DRR171661__k141_158975::9::7086::9221::+	vanT
cohort_merged__DRR171661__k141_164986::3::2245::2682::+	aac(6')
cohort_merged__DRR171661__k141_195638::12::12110::12733::+	catA
cohort_merged__DRR171661__k141_49592::4::3151::4029::+	bla
cohort_merged__DRR171661__k141_63727::3::2248::3309::+	vanG
cohort_merged__DRR171664__k141_114216::306::305778::306407::+	catA
cohort_merged__DRR171664__k141_12821::5::5000::6685::+	blaR1
cohort_merged__DRR171664__k141_19204::2::170::868::-	vanR
cohort_merged__DRR171664__k141_38224::11::12606::13646::-	vanG
cohort_merged__DRR171664__k141_38224::14::15675::16370::-	vanR
cohort_merged__DRR171664__k141_38224::9::10652::11830::-	vanT
cohort_merged__DRR171664__k141_62076::8::6235::8358::+	vanT
cohort_merged__DRR171664__k141_93009::47::49211::49906::+	vanR
cohort_merged__DRR171666__k141_160457::1::52::753::+	vanR
cohort_merged__DRR171666__k141_183813::3::2891::3535::-	catA
cohort_merged__DRR171667__k141_21659::28::26673::27458::+	aph(3')
cohort_merged__DRR171667__k141_58248::9::4184::4936::+	cfxA3
